t	step.n	cyc.n	I	E	Q.c	Q.d	step.t	En.d	En.c	Q.c.err	Q.d.err
1	185363.11336598	1	5	0	2.57516837120056	0	0	2.02792579563645	0	0	0	0
2	185365.141328904	1	5	0	2.56504344940186	0	0	4.05588841755938	0	0	0	0
3	185367.169299978	1	5	0	2.55583906173706	0	0	6.08385979327172	0	0	0	0
4	185369.197249318	1	5	0	2.5478618144989	0	0	8.11180913358313	0	0	0	0
5	185371.100413692	1	5	0	2.54049825668335	0	0	10.0149735077128	0	0	0	0
6	185371.103417311	2	5	-0.000443307479145005	2.52791881561279	0	6.64285714285714e-08	1.509274036e-06	1.67857142857143e-07	0	0	1.06760204081633e-09
7	185371.540114283	2	5	-0.000443307479145005	2.52270293235779	0	0.0192049978571429	0.436698783011974	0.0485025675	0	0	0.00030865175127551
8	185372.070515439	2	5	-0.000443307479145005	2.51748704910278	0	0.0425317907142857	0.967099938995143	0.107291256785714	0	0	0.000683546636479592
9	185372.507299948	2	5	-0.000443307479145005	2.51227116584778	0	0.061741425	1.40388444877237	0.155612744642857	0	0	0.000992272901785714
10	185373.193717176	2	5	-0.000443272525444627	2.50705528259277	0	0.0919293646428572	2.0903016767129	0.231387569285714	0	0	0.00147743621747449
11	185373.880365625	2	5	-0.000443307479145005	2.50153255462646	0	0.122127473928571	2.77695012543577	0.307015427142857	0	0	0.00196276297385204
12	185374.504691017	2	5	-0.000443342432845384	2.49631690979004	0	0.149584681428571	3.40127551767345	0.375634513928572	0	0	0.00240403952295918
13	185375.284007684	2	5	-0.000443272525444627	2.49110102653503	0	0.183857194642857	4.18059188294312	0.461104755	0	0	0.00295484777104592
14	185376.032906141	2	5	-0.000443342432845384	2.48588514328003	0	0.216793708571429	4.92949064114263	0.54306851	0	0	0.00348418460204082
15	185376.968875492	2	5	-0.000443342432845384	2.48036241531372	0	0.257957302857143	5.86546059572254	0.645291213928571	0	0	0.00414574236734694
16	185377.904818883	2	5	-0.000443342432845384	2.47514653205872	0	0.299121095357143	6.80140308151498	0.747292768214286	0	0	0.0048073033182398
17	185378.996823021	2	5	-0.000443307479145005	2.46993064880371	0	0.347147512142857	7.89340752119549	0.8660491975	0	0	0.00557915644515306
18	185380.275934879	2	5	-0.000443342432845384	2.46471476554871	0	0.403402277142857	9.17251937983326	1.00484870178571	0	0	0.00648325088265306
19	185381.586384097	2	5	-0.000443307479145005	2.4594988822937	0	0.461034779285714	10.482968295284	1.14674587035714	0	0	0.00740948752423469
